sentiment,content
love,joe: 2.30pm Kevin pics up a new pair of pjs :') PMSL i could have died!!! lmfaoo :') I MISS MY BOYS
worry,@shardaeAngelica yeah and in the tatami room!  kids + tatami dont mix
worry,"@twaysive hm, this not a good medium for much more then yes/no  I am responding to previous posts,days ago, &amp; other conversations we had"
sadness,@rafealAnthem yes i am and i was ready to go when i got here. ugh  and its sooo pretty outside..
happiness,"Totally been too long since I updated.  Saw Star Trek, excellent!  Killed Yogg-Saron 10 man.  Memorial Day killed 25 man raids"
sadness,@esull have a great camp!!!!! Wish I could be there.
worry,"@insidebooks Ooh, jealous. I just have yoghurt and some carrots."
love,Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock yeah I love it
relief,is wanting someone to spend her summer evening with whilst she's in such a nice relaxed mood !
sadness,@MissCaseyB I know what you mean  rain sucks...
worry,Why can't I make a phone call! I hate this anxiety crap. Someone cure me
worry,"@craigandera I got my copy yesterday, too, although right now I'm digging into Scala, so can't read it just yet..."
neutral,@judilynnfudge can you send ringtones to iPhones?! Idk how to regular ringtones for it
sadness,@MsHalfway I want to go back to school too *sigh* - but I am too poor
sadness,Last day of high school  i'm gonna miss all my friends
sadness,@hithit  missing jmichelle... told you treat me like a step child! smh
hate,"Oh god, I want to blow up my tooth. It hurts."
worry,"@lorenarojas But it is our reality  , we must survive. What doesn't kills, makes stronger. PA'LANTE LORE !"
neutral,@Jenshwa I expected it to be warm as usual and now I'm stuck wearing a sun dress on a cold day
sadness,@neeshababyyy they won't  guys are retarded!
neutral,On Security Audit
love,going to the library. I miss u already!
relief,@luv_liv_lyf good to hear! Just in time for the weekend. I'll be working though
sadness,"@inlovewitharmy What timeeee? My mom says I have to do something daw tomorrow, eh. But we're never compelte!"
neutral,is off to work
worry,Oh... I miss the Piano.
neutral,@Blauerpunto britta says she wants to have lunch with you too
worry,@N3H4 thats maddd ass bullshit dammit i feel baddd boooo powerpoint piece of shitttt
sadness,Why didn't my favorite spotters last tweet go to my phone
worry,@fansitesnetwork i love you &lt;3  host me lmao
worry,@iamdiddy I need a hug cuz these garbage truck men keep driving next to me whistling and Im working too hard 2 graduate...
worry,"got up at 8 today, and also misses his friend @danceashleylove"
hate,Is UPS like the cable company and doesn't show up til the last possible moment? I'd like to take a nap before school gets out
neutral,Don't know what the heck to do with the space of time between now and BGT    Bored.
neutral,Just had lunch w/ @JoshHolden at Jason's Deli... then stepped in dog poo
sadness,i'm still full from the buffet at palms.  my stomach actually hurts. ugh gluttony bites.
worry,I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.
fun,On the way to have Griffin's staples removed from his head!  Should be fun
neutral,@howlertwit AAAAhhhh! you makin me feel all gilty now
happiness,"Planning to install Windows 7 tomorrow, so probably no new posts for another few days at least"
worry,"@iamdiddy I need a hug because our pitching has been lackluster, our shortstops can't field &amp; Big Papi can't get above the Mendoza line."
worry,headache
sadness,"Off to play Tennis at Bel Air, courts are wet  but, we will play anyway."
worry,none of my friends is on this
worry,"hurt my left knee somehow last night, hurts to walk"
neutral,wants cookie
neutral,@Nicsey 3000 then ya up with me my friend ... i type too much
sadness,charlies roastbeef: mostaza no manejamos. WTF?
hate,"@CaronsBeachHs  Still dealing with quite a bit of pain, will jump off here soon to lay down,very frustrating  Thanks 4 asking"
fun,Such a busy day today!! Banbury Fair fashion show tonight and move into my apartment tomorrow! i have no started packing yet
sadness,"@iamdiddy - Me. because my ex boyfriend of 2 years (we broke up 2 months ago) is engaged to his gf of 6 weeks.  sad, embarrassed. Hug?"
love,Had a fantastic day with an amazing girl! Just wish Sara didn't have to go home.  #fb
worry,Why are money problems so bad these days
worry,"This wind is crampin' my style. I have a section of my yard that won't get any water. I'd move the sprinkler, but it's surrounded by mud."
sadness,i was too slow to get $1 Up tix
fun,This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn't get a photo.
sadness,shit's depressing
worry,There  was just a horrific fight at my school  glad everyone is ok and that it's Friday.
worry,@southern_storm lucky! I'm still working for another 4 hours!
neutral,@YoungLexHolla Ooohhh  well you could always borrow and burn buddy. Lol
happiness,@ashleytisdale Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock
neutral,Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable
sadness,So...woke up in time just for work.....boo
neutral,forgot my phone at home
neutral,wants to eat baked tahong. It's been a while. Really.  http://plurk.com/p/x24ke
worry,@divarina21 hello beautiful. how's mariahs baby? jackie still isn't talkin to me. i called her n left her a message the other day.
boredom,Not really feeling like my man cherishes me  wtf ! http://myloc.me/1ZLt
sadness,@ 5 happiness (chinese) totally disappointed  the food is USUALLY good *FAIL*
worry,Sad that david is leaving tomoro. for a week.
worry,has heart burn
happiness,"Dang it! It seems that every time I blip a song, it's unavailable."
surprise,@that_kat why not??  xxx
love,@lewdogg I wish I could afford to attend those benefits.
worry,gprof problem on Mac  why ??
hate,@RobynHumes Can't  Bro on laptop &amp; Salm on comp! Me stuck with Wii :'( xx
worry,@Nicsey wassup m8 ... bad day not good
sadness,@SweetHomeBirth  link isn't working
worry,"The computer is being really slow, especially on typing!"
worry,@jmliss Link didn't work
anger,Internet is painfully slow today
fun,@repressd Tell my work to give me two days off in a row! Stat! I'm full time I'm supposed to have priority
worry,"it might be sunny today, but alas, new product must make it to Etsy!"
worry,whooaaa. just got an overwheolming itus attack after eating
worry,"@RedPumpProj i would direct message you regarding blogging while brown, but a sista hasn't mastered that technique yet  ..lol"
sadness,"@world_of_max Sadly, no. Now David Tennant has left I don't particularly want the job anyway"
worry,"@alwaysafton I had an interruption in service on my phone, so I missed everything on Tuesday morning."
sadness,not at all happy...dont know what the reason is
worry,Bit devastated that I lost my entire documents folder on my home computer.
enthusiasm,The first time all week I can play WoW and I get stuck at &quot;authenticating&quot;.
sadness,@DinerokidMayo Im upset cuz now everyone agrees
sadness,apparently you are not getting on anymore... sad
worry,At the dr office for abbie's second round of shots...
sadness,I need to sit  my insides hurt ughhh
neutral,To lose this gut lol no seriously i have gained a lil and im not liking how it looks.
happiness,@PhreshlyPhaded Oh wow  Thanks for the info.
worry,"@winkphotography great to finally meet you last night! Wish we had more time to talk. Can't go to the coffee GTGs, though... Day job."
worry,"omg, my right ear is blocked and it's so annoying. what if i wake up deaf?  not gonna lie, i'm so scared"
sadness,@dorritos @repressd i get migranes.. so @repressd.. that leaves you to either arthritis and/or gout!
worry,webcam still wont work  evil stuffs.
sadness,argh! why why why
love,"Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time"
worry,@PandaMayhem my kid is sick too tho..i can't do it by myself.  i can't go there by myself like a crazy stalker
sadness,possibly going out tonight; is there ANYTHING to do in Lancaster? I miss Baltimore
worry,@iamdiddy I need a hug  I'm doing my junior cert this week and I'm totally stressed out :'(
sadness,@pilmorelee you beggar! Making me feel homesick
sadness,"@frgmnt I know, lame."
happiness,Thinks its gonna rain
worry,@cheesygiraffe aww. I hope you feel better soon.
worry,"@mmitchelldaviss It saddens me, you're youtube has changed. It's just like every other youtube kid, you used to be different"
hate,is fed up of stupid bots adding me
neutral,Is waiting for sumone to come online
worry,Feels rather lonely on here! I have no followers
neutral,@JraseanJ aww  I wish there was sun out here. Then I can get a tan!!!!  (walks it out) go meee go meeee
worry,"Twenty20 cricket, beer and sunshine very good. Well apart from the beer cause i'm on tablets!"
enthusiasm,Lazy day in is awesome but I really should go out
sadness,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!"
love,come and save me from my packing please?!
worry,@iamdiddy including myself... guess umma be partying alone yet again...lol..
love,My break is over  back to the inferno  [ I Love Her ]
love,"eating some breakfast at Panera Bread. boring cloudy weather, lil drizzle"
worry,honestly cant wait for wednesdays chemistry exam to be over - getting to me real bad
neutral,@QdobaMexGrill how do we know if we won?
love,I have a job at camp!!  Only downfall? No midnight showing of Harry Potter for me
sadness,Rachael makes me want to cry
neutral,"Fish fingers and potato croquettes it is then! Would love some baked beans, but they tend to hurt me."
worry,my internet service has been acting strange after the earthquake. Just found out that the submarine fiber optics cable got damaged
surprise,"@natalietran hey Nat, just wondering, why are your videos never available on the iPhone?"
sadness,@katebuckjr Sorry I can not reach either URL
worry,"I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what's the point?  I'm just not popular enough."
sadness,not feeling well at all today! ugh cant I just go home.
sadness,My eyes hurt.
love,pondering OC/LA day trip tmr. after yoga/work. hmm n then see school of 7bells in irvine tmr nite. ponder ponder... gota work on sun tho
surprise,@mawbooks I want a copy to read! I can't find it at my little library.  #bea09
happiness,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol"
surprise,@cocodkr the vid-link is not working  but snatched some people to follow off your list ;P
sadness,@dutchraymond yeah I didn't realize how bad it all was till now
sadness,has today off! But has to work tomorrow
sadness,"being lazy the rain does that to me  gym&amp;&amp;tanning is possibe, work &amp;&amp; a small social gathering around tha corner"
sadness,Can't give blood within a year of getting a tattoo so I can't give...Im gutted
worry,i really need a skateboard  ........
worry,@charlimillions where r u i? Am wearing a black polkadot dress n green cardigan i cant find u
worry,Are you going to hate being around my baby?
sadness,my head huwwts
neutral,@jonmerryman I remember the show... I don't remember the hiccups...
anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
surprise,Ugh its really hot today already and its not even noon yet  i want ice water!
sadness,I have to go to work with out my @andrajoi and @treykinkade
sadness,@vosdjs LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!
neutral,@HypeDaGreat Oh ok. I&quot;m @ work so no playing for me til later  lol.
neutral,@thetastydactyls  did you try the coat-hanger trick?
sadness,That's it? It's done already? This is one proof that there's nothing fair in this world.   http://bit.ly/10UEMq
worry,@J1S2004 Ubertwitter is still giving me an error msg.. Smh... Sucks
happiness,@nick_carter  awww poor you  - but you know ... you're doing it for US - bless you ;)))
worry,"@thegoodhuman Sorry to hear, wish there were words to make it better you"
neutral,Will be back in Dallas tomorrow.
hate,Just finished reading Chuck Palahniuk's &quot;Pygmy&quot; and kind of hated it. I'm really disappointed; I had pretty high hopes for this one.
sadness,I've been offered Fred on loan but I has no moniiieeeess...
worry,@davegiumara yeah the weather ruined my plans too  i was gonna beach it up as well
boredom,ok its been one hour im still waiting im losing my patience
surprise,"@awaisnaseer I had mailed @badar76 for something, you got the e-mail, I didn't which should probly mean I won't get it"
happiness,@erinhosborn Thanks Legolas.  @betterlesson Fellowship. re: Google wave: like. @bing demoed 2. http://tinyurl.com/ma6j6l means &quot;Disease&quot;
worry,Did you guys figure out Saturday? I really wanted to go but my mom is sick so I have to take her to the hospital in Tampa
love,"Every time I hear someone from Vancouver, it makes me follow them. I'm hopelessly in love with #vancouver"
worry,"@iamdiddy my hubby.  promised job promotion so we didn't move, signed a new lease n they withdrew the promotion..."
sadness,"@APStylebook I know, but I need some things in my life to be constant"
sadness,Is youtube not working properly for anyone else? I can't watch videos because they keep failing to load
happiness,@starangel82 @darkheath @140lover Everyone's going to think I'm a gold digger  Hahahaha
worry,@iamdiddy  My dog Nemo cause he wimpers every morning when I leave
worry,@_Enigma__ did you even listen to the blip i sent you
neutral,I hate having headrush
sadness,no luck in goin to forum.. im about the only person on earth not goin out
sadness,Starving. And Alyssa's mom would bring her subway.
enthusiasm,I really wish someone would make a groupchat theme for Adium suited for IRC. yMous has way too low contrast.
happiness,At the doctors office woooo so much fun. Have to go back to wotk after this cant afford to be off.
worry,Saw a black snake in the garden.  Went back for a picture and it was gone
sadness,has new headphones but no mp3 player yet  http://plurk.com/p/x258n
neutral,@causticsoda it was fine. i was still up playing inFamous. sorry to hear how things ended up again
worry,Having trouble syncing my iphone to my work exchange email  help!!!!
hate,Hanging out at the San Fran airport. Got a few hour wait until I go anywhere...BTW SFO's $7 wifi is garbage.
sadness,@risquethaianna i cant go swimmin any more
empty,@_Cheshire_Cat_
neutral,@anisalovesu it was apparently a request by the guests
enthusiasm,workin at la bootay... wheres the warm weather at???
love,rip grandpa  graduation today...
worry,Sunburn on my knees
worry,@AFMikey413 that sigh doesn't sound happy.
worry,is sadly going to have to cancel my Chicago trip next week.
worry,In the mood for shrimp scampi but I don't have vermouth.
worry,Today is not going to be relaxing like I hoped.
neutral,@JonasBrothersOx umm..nope not anymoree
sadness,@tommcfly sweet .. Englands becoming lamer and lamer since you guys left
worry,in media still havnet found ipod
worry,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...
sadness,"i got a haircut, i felt like that guy on the &quot;Last Samuri&quot; who was forced to have his ponytail cut off."
hate,On my way 2 work damn sinus headaches suck
love,I ate to much lunch...now I don't want to work
neutral,@Jengo_ i wanna go to the pub
sadness,@GLAMvoy Yes I think so unless it changed.  I sent u a happy mothers day text but u never responded back
hate,Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I'll do the work tops
sadness,@emaxio still @ the courthouse!     Happy to have a job... sad its this one!
sadness,@tearose21 Wish I could be there to enjoy a girls day!!!
worry,http://twitpic.com/66ydb - @jenleighbarry I made sure you got credit at the end of the book...I'm sure I forgot people though.
neutral,where is @HoodieCouture ???
worry,"on the phone with Arvest, the girl on the phone is breathing into the mic on the phone... not sound as good as Darth Vader..."
sadness,And it's gone.
sadness,Im here at work super bored
neutral,JUST GOT BACK 4RM A LONG WORKOUT AT DA GYM  ....
sadness,to cold for the beach  sucky.
empty,@deardrahpee don't know  and no not at all
sadness,@Berumen4 No.  Just sitting around sculpting tiny koi.
worry,"I never order chips any more due to how unhealthy they are, but getting a burrito from Chipotle or Qdoba doesn't feel right without em"
worry,i totally need to go to the doctor for my arm...this bitch is STILL hurtin like hell      i shall return
neutral,just slammed my finger in a car dor  FML ow
neutral,Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot
happiness,out enjoying the weather before i have to go to work.. last shift with @jamieallover
neutral,awesome i just ruined all my white clothes i never remember to separate
sadness,O.k i feel like i need to cry now  i can't believe that in less than 2 years ill be walking across the stage to get a High School diploma!
empty,Piz's last lunch in b-dubb
sadness,@Jonasbrothers Just saw the webc. awesome! i loved all the songs! im sad cuz i couldnt be there  had 2 wake up early and it started at 1am
sadness,So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.
happiness,Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles
sadness,is stressin h-core. and is supposed to be cleaning her room. and feels like crap.
happiness,@HannahSukter anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys
worry,feel like shit.....and will continue to for as long as it takes
surprise,Can't believe i'm spending my lunch break inside @ my desk
neutral,finishing one shift in 37 mins... drive half an hour and start all over again till 1am...and back in @ 11am tomorrow .. and its sunny
worry,"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on"
sadness,back from lunch and it's pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!
sadness,@Mad_Gab  We should bask in misery together
worry,@Sirvashawn let me know how it goes I'm praying. Ummmph. I still can't believe it.
fun,ok... finished all the Mikados  Should shut up now! lol
worry,@travisroberts What would you know about packing? You're making poor Lauren do it all.
enthusiasm,Sushi joint was closed  but still had a nice lunch w/ Angel!
neutral,@kirbywhitehead haha! I remember that! That trip was fun. I Miss miss miss miss miss chu
neutral,@chathuraw ???? ???? ????.....  ???? ???? ??????? ?? ???...
neutral,wish i was 17 again
neutral,says from now it will be impossible to Plurk from work  system administrators closed the access in the firew... http://plurk.com/p/x25jw
fun,"@blues_traveler I want the Tix!  Oh, right.  I'm know where near Vacaville Ca."
sadness,i feel super sick
sadness,http://wave.google.com/ &lt;3 Google ... wish they'd spend a bit more time adding bits to Chrome though
happiness,@rayrayyyyy &quot;now or never&quot; makes me cry everytime  lol.
worry,going to a funeral
worry,Worried sick now about my granddaughter. She's at Hasbro possibly needing to have her shunt revised which means another surgery.
worry,"@djjezzie  how very rude fof them, you poor girl i hope you recovered from that  awful site"
neutral,Twitter is slow!
fun,@siamusic  as long as you have someone to make out with    lol
sadness,my head is bruised really bad :|
empty,finished the noodles. done the dishwasher. really really warm. i don't like it
worry,Ruby Luster can't make it to NYC for our performance
sadness,I hate it when I am in pain
love,i have an ipod nano i never use.tut for the love of all things Apple
worry,My last day with my favorite teacher.....im quite sad
neutral,Just updated #Tweetie and open in browser is still broken.
neutral,@rawrrxsteffie yeah quite a few kids in my school got swine flu. they only close down the school if its 30 kids or more
sadness,I'm trying to find a pic for twitter but all that  ihave are too big or can't upload. So I shall remain faceless  lol
worry,http://twitpic.com/66yb9 Ozzy back from the vet. Not feeling well. He looks so sad.    Possible UTI. Results tomorrow.
sadness,@crystaaale wtf kinda best friend am I? I *still* haven't met the hubby. That depresses me
sadness,Room is so empty
hate,"Sitting in Mrs. Martins class, youtube is being stupid. and i REALLY want a popsicle!!! jealous of Sara"
worry,zoita had a cardio apt. 2day. doc says her hole-in-the-heart hasn't closed. she'll need the surgery to close it http://ghurm.tumblr.com
worry,@LucyMeez   I tried that pincode... and it says it is expired... you only just put it up.
neutral,@inlovewitharmy i knoooooooooooow
worry,Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I'm outty.
sadness,@lilmo4ever I'm So Mad I Wont Be There!!!!!!!!! UGHHH!!!
worry,"is hungry, but can't leave for lunch"
sadness,"Man, my sinuses r really buggin me this morning"
sadness,"Had an interesting evening amongst homeless people in Venice Beach last night, wishing I had my camera with me........ and model releases"
neutral,kinda has a headache...
neutral,pool is still closed  and it is cloudy. what should i cook tonight?
neutral,My trip to Igbaras will be postponed to next week
neutral,Is concerned about @pixiefish
hate,@Mezzie1221 you are a slow answerer!
neutral,@nikkijean wish i coulda been there
hate,@cre8tn You and your Yuotube links.  DENIED at work.
worry,Have @ Irma Vep rehearsals. No...not really.
surprise,Why doesn't McDonald's make PINEAPPLE pies?
worry,Ouch!!... Stomachace.... I ate a lot...
sadness,This is California it has to be sunny... But its not ::::: makes me kinda sad
worry,"Gah. I think I like Wes Carr... Thats wrong. Nothing good has come out of Australian Idol, but his 'You' song is catchy as fuck"
worry,@bruceswalker   Hi Bruce  I am trying to eat healthy!  It's kinda scary when I read &quot;Eat this Not that&quot;  maggots and rat hair in our food
worry,@heffasaurus  anything I can do to help?
worry,i can't sleep.  amp.
empty,I'm still waiting for the Oprah touch
happiness,http://twitpic.com/66ymw I'm gonna miss these guys so much  Thanks for making the 5 years at senior school amazing!
happiness,"@Rush23 how about we start with a true Franchise online mode. Dynasty was huge, Madden online league not so much"
hate,#itsucks when everyone but the one i want to text me is texting me!
love,"@Lidybeth inoo thats why i sed ino how u feel coz im in love with kyle, i feel like such a saddo but its true ha i wanna see him tuesday"
surprise,"@MetromixOrlando ok cause the one  S orange is still open. Whew, you just scared me. Sorry the one by you closed"
hate,Youtube is made of fail right now. Or maybe it's just me that it hates.
sadness,oasis or ribena? toughest decision everrr
worry,A year from now is graduation....i am pretty sure i'm not ready for it!?!?!?
happiness,Just got back from the concert! Some mistakes... I kinda failed my Macedonian test  But my relatives from Serbia are here! WooHoo!!!
enthusiasm,at school again  its boring and these people are playing country and it sucks !!!!XD
happiness,"Whew, the first night and day of summer were.....very sad  But, I have Jess's grad party to go to tonight!!!"
happiness,Just watched the &quot;Final Break&quot; final prison break episode. It was great. Farewell Prison Break. You will be dearly missed.
worry,"So, no yarn arriving until Monday and I don't even know what's in this shipment.  I have nothing to dye.    Now what?"
worry,I'm gettin ready for my trip back to MA...  I don't wanna leave!
empty,@Shooz1 ok ok mam ... i was jus angry
neutral,@zHundred No. Not professional at all.
neutral,@emclev yeah I can imagine!  Not nice   How much longer is your shift?
neutral,So Bored. Firday Evening And Nothing To Do
neutral,time to be nerd
hate,@soniei argh. I don't like ebay. I got outbid at the last second
love,@ginjagin I think you're pretty! I'm sorry they made you feel bad
worry,@SiCoUK he won't reply
surprise,just woke up to a flat tire
worry,"*YAAAWN* Stayed up too late last night, still gotta work &amp; get up super early tomorrow"
neutral,On the phone with the bank.
relief,@bethanyshondark Ouch. Better get used to it. I think 22 to 25 are prime marriage years.
neutral,last day at Adobe  buuuut I just registered for online tech writing course!
hate,Not a bad back 43. Piss poor front tho. 90 still unbroken
enthusiasm,"@mikeneumann  You just want to go?? I know the feeling...  I'm ready to head back to the mountains, I won't go back till July"
sadness,"When i say &quot;we close at 6&quot;, it does not mean &quot;come in at 6&quot;. Ffs people. Also RIP Polly"
worry,@BarryAlistair I must of brought the bad weather with me to the states
enthusiasm,@sarahbellum Your not alone
neutral,@taragracee
hate,Goddamnit! If we live in an age of constant communication why can't anyone return a text
surprise,"Awww NOOO, not my Venus        Will redemption come in doubles?"
enthusiasm,"my mouth is sore  I have to wear these stupid retainers so my teeth don't go crooked!...in other news, I got a new swimsuit for laps!"
happiness,Burnt Agenn  Nice Day Tho  xxx
fun,I just vacuumed my entire house three times. Screw all vacuums!!
neutral,"@heresMonique hey u, no not yet  soon maybe tomorrow!"
happiness,@caltort i have tried the Teriyaki - no cookie tho!  we got (non winning) Pop-tarts with it.  All was great!
sadness,@amychiu fuck was that the blink/weezer one? I totally forgot.
neutral,@nebgen I am lost. Please help me find a good home.
worry,The ball on my BB is not working.  I can read any text messages....holla but don't text me
sadness,@sonicsalamander Sorry 'bout the migraine.  Did I mention I really liked your Cissbury (sp?) pic last week?
hate,"ï¿½anisalovesu me too. I am so so upset,especially because i fear i won't get a Jared hug tomorrow"
neutral,"Of course, the Evil Day Job wants me to stay longer.  I need to win the lottery."
worry,Ok why am I still in the airport and my flightwas @ 1:47pm I haven't even boarded  http://myloc.me/1ZPI
hate,Uploading a 1Mo video with microb and on 3G Network in the train is really slow
worry,@Hellolizzay I work tomorrow
sadness,@msdivineknight wish i could  want to stay and play with u guys and enjoy a block party for once
sadness,"@yelyahwilliams alright. i REALLY wish you guys could've done a show in tennessee  because now, i can't go to one of your shows :'("
worry,I need food. It took an hour to get to work this morning. Leaving me no time to get my morning coffee and bagel
sadness,@jovenatheart you never follow me I sad  LOL
relief,@thehoodnerd    Ive been dying for those!! They just so expensive in little sizes.
worry,"Jonas and Demi, I miss you  / NIIICK, in my soul, ASASGDYGYASDGY ?"
sadness,Shoot. Only 12 miles
surprise,@tealshocked thats because im getting a new phone since my other phone dont work at all
relief,work all day
worry,First time in my live that i got a little pop up on the taskbar saying that one of my files was corrupt and I needed to run chkdisk
sadness,@siiyu she could have been a lost dog  poor girl
sadness,@MrSucre lmao i sure did!!! no luck though
worry,@sri_rng dont know IMEI number  is it tracked even in india?
neutral,"I'd respond, if I were going"
worry,@induce1 Panchito's burfday party tonight... wish you were here kiddo!
worry,Its already been a crazy morning and its ONLY 1030
worry,Damn. I got a math test today.
worry,y must i hve graduation practice...all im gonna is walk
anger,MOtherfuck QW
neutral,"@skie I'd have responded, if I were going"
sadness,The girl across the hall says her cat got out when the landlord was showing her apt.  so heartbreaking
worry,watching Gilmore Girls reruns!! Don't know what else to do for the day
sadness,"Feeling bad for my little sister. Put a lot of money into her Saab, took full coverage off it last week, and totalled it yesterday"
surprise,is at the beach watching Xmen Origins and drinking orange juice with no pulp
worry,"@azroth Unfortunately, I didn't do it on purpose - itunes shuffle did it. It followed up with Dreadzone, so no life-ruin music-trauma."
sadness,trying to spending time away from the reality....broke my heart again
sadness,Oh no! Poor bears  i just had a nightmare i wrestled a huge snake and won
worry,"@mnemosynekurai haha yea, i just feel like its being taken the wrong direction, used to be a cool place, now its a mess"
worry,Epsilon Greater than Zero misses her Mommy.  http://apps.facebook.com/catbook/profile/view/5626035
worry,Feeling very sad again today
happiness,@Sopphue i foot think it will let you since it.s international  but we have twitter haha
hate,sometimes i got tired dealing with my own dilemmas..
worry,"@wendyandlisa unfortunately, I will miss Girl Bros. Radio tonight. Will be in the midst of an all night writing session"
neutral,At the DMV
hate,@orbitaldiamonds That drives me nuts.
neutral,I hate it when I forget to actually turn on the dryer
worry,Work is ded  out tonite tho eeeeeee
hate,Shit. My friend's in such a state and I don't know how to help him. Nothing I say seems to be helping and I wish I knew what to say
sadness,"i want my ben and jerrys now lol, TWEET PEOPLE im bored"
hate,"@sierraphares oh! Yeah,your mom told be about that.  I thought you meant his twitter ID &amp; I was very confused. That sucks. Sick."
surprise,@jury323 ommg gurll why aren't u going how sad
worry,@lram2 What!?!?! I can't believe I had to find out this way...don't you ppl contact family first??!!? I'm so sad!  Who was it?!?1
sadness,not feelin 2day
worry,@thewhitemage It does it sometimes - it should come back ;) And the car thing sucks - I feel all anxious and yucky now
love,@jroberson4 Good luck at the services tomorrow!! I wish I could see you guys on your vacation!
worry,Is anyone there?  Please say hello - I'm feeling lonely
sadness,"Going to an engagement party tommorrow night - it should be mine, but its NOT!  Stepping off the soapbox."
sadness,@SeviDesigns It'll be delivered next Friday.  That is a looonnnng way away with 5 people! Guess I'll do laundry next week at mil's.
worry,Is sitting in science freezing  four days (:
worry,Watching hollyoaks - hoping Justin isn't the one to die.
sadness,"@audreyallure - I'm really thinking about staying till tomorrow .. I have to be back in Philly 2nite, but I wanna stay so bad."
worry,maths seriously hate me.
neutral,@statisticsio No! Why?
neutral,@katiejonesy it does but that game doesn't.
neutral,Aw. Toy Story 3 is coming out NEXT year.
sadness,feeling rather peckish...no dinner for at least 2 hours  wah
worry,i cut my hand open!!!
happiness,@shelleymcarthur I was only @ Cambie just slightly before the event then had to leave  Waiting for feedback though; I'll keep u posted!
worry,@b33f4l0 @KevinDoyle Ha!  I dunno about standing anything up.  Very very rough today.  It hurts to talk.
neutral,South of the Border! And officially out of South Carolina until January
worry,"I'm just to far from where you are, I wanna go home..."
neutral,"If I were an heiress, I would be shopping all day  Kinda bad, I know"
fun,Molly keeps punching me cuz she sees yellow cars. I'm gonna be covered in bruises. I don't like this game
worry,has a headache from the the heat.
sadness,On my way to lake geneva and I miss my laura
happiness,"going out tonight, FINALLY. i wanty lie in the park but... cinema bound it looks"
neutral,time for work
happiness,@MorganMartinez My dream was about hanging out with all my friends. It was good until I woke up and they weren't there.
worry,Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn't make it
worry,Does not feel good at all today
surprise,"@crystaaale dude, that's eff'ed up. LOL @ chris browning you. We live so far apart and Im afraid to fly"
sadness,"@CCNKAddict I know... it just falls right at 1pm my time, like right in the middle of the day"
neutral,I need more twitter friends. I'm checking this far too often and find nothing new
sadness,@wimnms well i miss her i think she would really like it  re:trina
sadness,@ChrisEfs i tryed that the other day but they werent giving up what they were using!
surprise,"@awaisnaseer I mailed @badar76 for some help, you got reply right now from him, I didn't get, which should probly mean I won't get it"
worry,"Off to the shelters around me to look for her.  I hope she is okay, so afraid that she is going to get hit by a car. Can't stop crying"
sadness,Nothing like waking up slow in the morning. Docs appt today.
worry,Where can I get nice food for Mam down the Bay that a) is likely to have room for 3 tonight and b) isn't the mingin' burger kitchen
neutral,my teeshirt is faaar too small for me but i like it too much to stop wearing it
love,@Irish_Jean awessomee! cut my hurrr i give massage? orr alkie? or foodtour? yeaaah! &amp;i'll pray for ur cousin
happiness,"went and got a pedicure and a manicure 2daii!!!! and den sunbathed all daii!!!! BEST DAY EVA!!!!! oh yeh,....did a teeny bit of study"
sadness,It went really well! But the vid didnt work.  im sad
surprise,"@jerwjr Yes.  Me too. I can't understand why they have to do that. I mean, I know it's all about Hollywood, but this thing is called love."
sadness,missed my friggin hair appt!!!
sadness,"@Quinztar Oh no, but that means that you won't be able to get pwned by my shottie this weekend"
love,"Goood Dayy  Beeen shopping, didn't get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x"
worry,@orbitaldiamonds I want all the soldiers to come home so we don't have to hear about anymore being killed.
